control_domain,control_title,control_id,control_specification,control_type,genai_ops_processing_infrastructure_pi,model,orchestrated_services,application,is_relevant_phys,is_relevant_network,is_relevant_compute,is_relevant_storage,is_relevant_app,is_relevant_data,preparation_relevance,development_relevance,evaluation_validation_relevance,deployment_relevance,delivery_relevance,service_retirement_relevance,threat_model_manipulation,threat_data_poisoning,threat_sensitive_data_disclosure,threat_model_theft,threat_model_service_failure_malfunctioning,threat_insecure_supply_chain,threat_insecure_apps_plugins,threat_denial_of_service_dos,threat_loss_of_governance_compliance,relevant_stack_components,relevant_threat_categories,has_deployment_relevance,has_delivery_relevance,has_service_retirement_relevance,is_ai_specific,is_cloud_specific,is_cloud_and_ai_related
Application & Interface Security,Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while meeting organizational delivery goals. Automate when applicable and possible.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Resource provisioning, Team and expertise","Guardrails, Training, Supply Chain","Validation/Red Teaming, Re-evaluation","AI applications, AI Services supply chain","Continuous improvement, Operations, Maintenance",,True,True,True,True,True,True,True,True,True,"Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,False,False,False,True
Application & Interface Security,Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized, and compliant application deployment. Automate where possible.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Resource provisioning, Team and expertise","Guardrails, Design",Validation/Red Teaming,"AI applications, Orchestration","Maintenance, Continuous improvement, Operations, Continuous monitoring",,True,True,True,True,True,True,True,True,True,"Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,False,False,False,True
Application & Interface Security,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Resource provisioning, Team and expertise","Guardrails, Supply Chain, Design",Validation/Red Teaming,"AI applications, AI Services supply chain, Orchestration","Continuous improvement, Maintenance",,True,True,True,True,True,True,True,True,True,"Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,False,False,False,True
Application & Interface Security,Input Validation,AIS-08,"Validate, filter, modify or block, as necessary, input against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Data collection, Data curation","Guardrails, Training",Validation/Red Teaming,"Orchestration, AI applications","Continuous monitoring, Operations",,True,True,True,False,True,False,True,True,True,"Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,False,True,False,False
Application & Interface Security,Output Validation,AIS-09,"Validate, filter, modify or block, as necessary, output against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,,"Guardrails, Design",Validation/Red Teaming,"Orchestration, AI applications","Operations, Continuous monitoring",,True,True,True,True,True,False,True,False,True,"Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure apps/plugins, Loss of governance/compliance",True,True,False,True,False,False
Application & Interface Security,API Security,AIS-10,"Define and implement processes, procedures, and technical measures to secure APIs. Review and update for any improvements at least annually or after significant system changes.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Team and expertise, Resource provisioning","Guardrails, Design",Validation/Red Teaming,"AI applications, Orchestration","Continuous monitoring, Maintenance, Operations",Archiving,True,True,True,True,True,True,True,True,True,"Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Application & Interface Security,Agents Security Boundaries,AIS-11,Establish security boundaries for agents.,AI-Specific,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,False,True,True,True,True,"Data collection, Data storage, Resource provisioning",Training,Validation/Red Teaming,"Orchestration, AI Services supply chain, AI applications",Continuous monitoring,Data deletion,True,True,True,True,False,False,True,False,True,"Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure apps/plugins, Loss of governance/compliance",True,True,True,True,False,False
Application & Interface Security,Source Code Managemement,AIS-12,"Implement source code management practices, such as version control, code review & static code analysis, aligning with the SDLC process.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),False,False,True,True,True,True,Team and expertise,"Design, Supply Chain, Guardrails","Validation/Red Teaming, Re-evaluation",,Maintenance,,True,True,True,True,True,True,True,True,True,"Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",False,True,False,False,False,True
Application & Interface Security,AI Sandboxing,AIS-13,Implement sandboxing techniques to execute AI tools and plugins in isolated environments to prevent unintended interactions with critical systems or data and limit the possibility of lateral movement.,AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Shared Application Provider-AI Customer (Shared AP-AIC),True,True,True,True,True,True,"Resource provisioning, Team and expertise","Design, Guardrails, Training","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI applications","Operations, Continuous monitoring","Archiving, Data deletion, Model disposal",True,False,True,True,True,True,True,True,True,"Phys, Network, Compute, Storage, App, Data","Model manipulation, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,True,False,False
Application & Interface Security,AI Cache Protection,AIS-14,Implement security measures to protect caches in GenAI systems and services.,AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,,"Design, Guardrails",Validation/Red Teaming,"Orchestration, AI applications","Operations, Maintenance",Data deletion,False,True,True,True,True,True,True,True,True,"Network, Compute, Storage, App, Data","Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,True,False,False
Application & Interface Security,Prompt Differentation,AIS-15,"Implement mechanisms enabling the model to clearly distinguish user-provided input instructions from data and system instructions (e.g., system prompts).",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,,"Design, Guardrails",Validation/Red Teaming,"Orchestration, AI applications","Operations, Continuous monitoring",,True,True,True,False,True,True,True,True,True,"Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,False,True,False,False
Business Continuity Management and Operational Resilience,Business Continuity Management Policy and Procedures,BCR-01,"Establish, document, approve, communicate, apply, evaluate and maintain business continuity management and operational resilience policies and procedures. Review and update the policies and procedures at least annually, or when significant changes occur that could impact risk exposure.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data storage, Resource provisioning, Team and expertise",,,"AI applications, Orchestration","Operations, Continuous monitoring, Maintenance","Archiving, Data deletion, Model disposal",False,False,True,True,True,True,False,True,True,"Phys, Network, Compute, Storage, App, Data","Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Risk Assessment and Impact Analysis,BCR-02,Determine the impact of business disruptions and risks to establish criteria for developing business continuity and operational resilience strategies and capabilities. Review and update the risk assessment and impact analysis at least annually or upon significant changes.,Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage, Resource provisioning, Team and expertise",,,"AI applications, Orchestration","Operations, Maintenance, Continuous monitoring","Archiving, Model disposal, Data deletion",False,False,True,False,True,True,False,True,True,"Phys, Network, Compute, Storage, App, Data","Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Business Continuity Strategy,BCR-03,"Establish strategies to reduce the impact of business disruptions, and improve resiliency and recovery from business disruptions.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data storage, Resource provisioning, Team and expertise",,,"AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",False,False,True,False,True,True,False,True,True,"Phys, Network, Compute, Storage, App, Data","Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Business Continuity Planning,BCR-04,"Establish, document, approve, communicate, apply, evaluate and maintain a business continuity plan based on the results of the operational resilience strategies and capabilities.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data storage, Resource provisioning, Team and expertise",,,"AI applications, Orchestration","Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",False,False,True,False,True,True,False,True,True,"Phys, Network, Compute, Storage, App, Data","Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Documentation,BCR-05,"Develop, identify, and acquire documentation, both internally and from external parties, that is relevant to support the business continuity and operational resilience programs. Make the documentation available to authorized stakeholders and review at least annually or upon significant changes.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data storage, Resource provisioning, Team and expertise",,,"AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",False,False,False,False,False,False,False,False,True,"Phys, Network, Compute, Storage, App, Data",Loss of governance/compliance,True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Business Continuity Exercises,BCR-06,Follow a structured approach to evaluate the effectiveness of the business continuity and operational resilience plans at planned intervals or upon significant changes.,Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data storage, Resource provisioning, Team and expertise",,,"AI applications, Orchestration","Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",False,False,True,False,True,True,False,True,True,"Phys, Network, Compute, Storage, App, Data","Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Communication,BCR-07,Establish and maintain communication channels with all relevant stakeholders in the course of business continuity and resilience procedures.,Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data storage, Resource provisioning, Team and expertise",,,"AI applications, Orchestration","Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",False,False,True,False,True,True,False,True,True,"Phys, Network, Compute, Storage, App, Data","Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Backup,BCR-08,"Periodically perform backups. Ensure the confidentiality, integrity and availability of the backup, and verify restoration from backup for resiliency.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data storage, Resource provisioning, Team and expertise",,,"AI applications, Orchestration","Operations, Maintenance, Continuous monitoring",Archiving,False,False,True,True,True,False,False,False,True,"Phys, Network, Compute, Storage, App, Data","Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Loss of governance/compliance",True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Disaster Response Plan,BCR-09,"Establish, document, approve, communicate, apply, evaluate and maintain a disaster response plan to recover from natural and man-made disasters. Update the plan at least annually or upon significant changes.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data storage, Resource provisioning, Team and expertise",,,"AI applications, Orchestration","Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",False,False,False,False,False,False,False,False,True,"Phys, Network, Compute, Storage, App, Data",Loss of governance/compliance,True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Response Plan Exercise,BCR-10,"Exercise the disaster response plan annually or upon significant changes, including, if possible, participation of local emergency authorities.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data storage, Resource provisioning, Team and expertise",,,"AI applications, Orchestration","Operations, Maintenance, Continuous monitoring",Archiving,False,False,True,False,True,True,False,True,True,"Phys, Network, Compute, Storage, App, Data","Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Business Continuity Management and Operational Resilience,Equipment Redundancy,BCR-11,Supplement business-critical equipment with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance in accordance with applicable industry standards.,Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),True,True,True,True,False,False,Resource provisioning,,,"AI applications, Orchestration","Operations, Maintenance, Continuous monitoring",Archiving,False,False,False,False,False,False,False,False,False,"Phys, Network, Compute, Storage",,True,True,True,False,False,True
Change Control and Configuration Management,Change Management Policy and Procedures,CCC-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for managing the risks associated with applying changes to assets owned, controlled or used by the organization. Review and update the policies and procedures at least annually, or upon significant changes.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,False,"Data storage, Resource provisioning","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Data deletion, Model disposal",True,True,True,True,True,True,True,True,True,"Network, Compute, Storage, App","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Change Control and Configuration Management,Quality Testing,CCC-02,"Establish, maintain and implement a defined quality change control, approval and testing process incorporating baselines, testing, and release standards.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage, Resource provisioning, Team and expertise","Training, Design, Guardrails, Supply Chain","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Continuous monitoring, Continuous improvement, Maintenance, Operations","Archiving, Data deletion, Model disposal",True,True,True,True,True,True,True,True,True,"Phys, Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
