taxonomy_category,taxonomy_term,definition_or_notes,raw_row
LLM Taxonomy,Evaluation/Validation,"This phase rigorously assesses the LLM's performance, reliability, and suitability for its intended purpose before deployment. | Evaluation | Metrics: Use a combination of quantitative and qualitative metrics tailored to the LLM's task. Quantitative metrics include accuracy, precision, recall, F1-score, perplexity (for language generation), and BLEU score (for translation). Qualitative metrics may involve human judgment of outputs for fluency, coherence, and relevance. Benchmarking: Compare the LLM's performance to established baselines or other state-of-the-art models to understand its relative strengths and weaknesses. Bias and Fairness Testing: Examine the model's output for potential biases across various demographic groups or sensitive attributes. Use fairness metrics to quantify disparities.","Evaluation/Validation | This phase rigorously assesses the LLM's performance, reliability, and suitability for its intended purpose before deployment. | Evaluation | Metrics: Use a combination of quantitative and qualitative metrics tailored to the LLM's task. Quantitative metrics include accuracy, precision, recall, F1-score, perplexity (for language generation), and BLEU score (for translation). Qualitative metrics may involve human judgment of outputs for fluency, coherence, and relevance. Benchmarking: Compare the LLM's performance to established baselines or other state-of-the-art models to understand its relative strengths and weaknesses. Bias and Fairness Testing: Examine the model's output for potential biases across various demographic groups or sensitive attributes. Use fairness metrics to quantify disparities."
LLM Taxonomy,Validation/Red Teaming,"Real-world Testing: Test the LLM in realistic scenarios resembling its intended use case. Evaluate its performance on unseen data to assess generalization capabilities. Human-in-the-loop: Involve human experts to evaluate the LLM's outputs, especially in sensitive domains where accuracy and nuance are critical. Collect feedback to guide future refinements. Red Teaming: Employ an adversarial team to intentionally probe the LLM's vulnerabilities, biases, and failure modes. This approach can uncover weaknesses that may be missed during regular testing","Validation/Red Teaming | Real-world Testing: Test the LLM in realistic scenarios resembling its intended use case. Evaluate its performance on unseen data to assess generalization capabilities. Human-in-the-loop: Involve human experts to evaluate the LLM's outputs, especially in sensitive domains where accuracy and nuance are critical. Collect feedback to guide future refinements. Red Teaming: Employ an adversarial team to intentionally probe the LLM's vulnerabilities, biases, and failure modes. This approach can uncover weaknesses that may be missed during regular testing"
LLM Taxonomy,Re-evaluation,Monitoring: Continuously monitor the LLM's performance after deployment. Implement mechanisms to detect potential data and model drift or declining performance over time. Triggering Re-training: Establish criteria for when performance degradation or shifts in the data distribution warrant a full or partial re-training of the LLM.,Re-evaluation | Monitoring: Continuously monitor the LLM's performance after deployment. Implement mechanisms to detect potential data and model drift or declining performance over time. Triggering Re-training: Establish criteria for when performance degradation or shifts in the data distribution warrant a full or partial re-training of the LLM.
LLM Taxonomy,Deployment,"This phase involves integrating the trained and validated LLM into operational systems where it can provide its intended service. | Orchestration | Containerization: Package the LLM and its dependencies (libraries, data, etc.) into a self-contained unit (e.g., a Docker container) for portability and simplified deployment across different environments. Scalability: Design a deployment architecture that can scale up or down based on demand. Consider load-balancing techniques to distribute incoming requests efficiently. Versioning: Implement a system to track different LLM versions, their configurations, and performance metrics. This will facilitate rollbacks and comparisons when deploying updates. IaC: Use infrastructure as code for orchestration of infrastructure. This gives many advantages like traceability of changes, easier rollbacks, and so on.","Deployment | This phase involves integrating the trained and validated LLM into operational systems where it can provide its intended service. | Orchestration | Containerization: Package the LLM and its dependencies (libraries, data, etc.) into a self-contained unit (e.g., a Docker container) for portability and simplified deployment across different environments. Scalability: Design a deployment architecture that can scale up or down based on demand. Consider load-balancing techniques to distribute incoming requests efficiently. Versioning: Implement a system to track different LLM versions, their configurations, and performance metrics. This will facilitate rollbacks and comparisons when deploying updates. IaC: Use infrastructure as code for orchestration of infrastructure. This gives many advantages like traceability of changes, easier rollbacks, and so on."
LLM Taxonomy,AI Services supply chain,"Agents: If the LLM is part of a larger conversational AI system, determine how it will interact with other components like natural language understanding (NLU) modules, dialogue managers, and knowledge bases. Plug-ins: Integrate the LLM with necessary plugins or extensions to enhance its functionality (e.g., plugins for specific domains like healthcare or finance). Consider the security implications of integrating external components. Security: Prioritize security measures throughout the supply chain. Protect API endpoints, implement user authentication/authorization protocols, tokenize access credentials, and encrypt sensitive data in transit and at rest.","AI Services supply chain | Agents: If the LLM is part of a larger conversational AI system, determine how it will interact with other components like natural language understanding (NLU) modules, dialogue managers, and knowledge bases. Plug-ins: Integrate the LLM with necessary plugins or extensions to enhance its functionality (e.g., plugins for specific domains like healthcare or finance). Consider the security implications of integrating external components. Security: Prioritize security measures throughout the supply chain. Protect API endpoints, implement user authentication/authorization protocols, tokenize access credentials, and encrypt sensitive data in transit and at rest."
LLM Taxonomy,AI applications,"Application Programming Interfaces (APIs): Develop well-structured APIs to allow external entities (systems and users) to interact with the LLM-powered applications. Provide clear documentation of input/output formats and expected behavior. APIs should be built using standards like Representation State Transfer (REST) and have version controls. Retrieval-Augmented Generation (RAG): If applicable, consider integrating a retrieval component to enable the LLM to access and incorporate relevant information from external knowledge sources for more informed responses. Prompt Injection: Explore techniques for injecting prompts or instructions to guide the LLM's behavior towards specific tasks or to constrain outputs for safety. Insecure Output Handling: Double-checking the output is essential to avoid harmful outputs that could lead to downstream security exploits, including code execution that compromises systems and exposes data","AI applications | Application Programming Interfaces (APIs): Develop well-structured APIs to allow external entities (systems and users) to interact with the LLM-powered applications. Provide clear documentation of input/output formats and expected behavior. APIs should be built using standards like Representation State Transfer (REST) and have version controls. Retrieval-Augmented Generation (RAG): If applicable, consider integrating a retrieval component to enable the LLM to access and incorporate relevant information from external knowledge sources for more informed responses. Prompt Injection: Explore techniques for injecting prompts or instructions to guide the LLM's behavior towards specific tasks or to constrain outputs for safety. Insecure Output Handling: Double-checking the output is essential to avoid harmful outputs that could lead to downstream security exploits, including code execution that compromises systems and exposes data"
LLM Taxonomy,Delivery,"This phase focuses on the ongoing management of the deployed LLM and iterative improvements to maintain its value and performance. | Operations | Logging and Monitoring: Continuously track the LLM's performance using established metrics for accuracy, latency, and resource utilization. Implement alert systems to notify relevant personnel of any security issues or performance degradation. Incident Response: Establish plans and procedures to promptly address and resolve system failures and security incidents, such as cyber-attacks, bugs, or performance bottlenecks. User Feedback: Establish mechanisms to collect user feedback about the LLM's outputs. Analyze this feedback to identify areas for improvement or potential issues.","Delivery | This phase focuses on the ongoing management of the deployed LLM and iterative improvements to maintain its value and performance. | Operations | Logging and Monitoring: Continuously track the LLM's performance using established metrics for accuracy, latency, and resource utilization. Implement alert systems to notify relevant personnel of any security issues or performance degradation. Incident Response: Establish plans and procedures to promptly address and resolve system failures and security incidents, such as cyber-attacks, bugs, or performance bottlenecks. User Feedback: Establish mechanisms to collect user feedback about the LLM's outputs. Analyze this feedback to identify areas for improvement or potential issues."
LLM Taxonomy,Maintenance,"Bug Fixes: Address errors or malfunctions within the code used to train, fine-tune, and deploy LLM models or their supporting systems. Release patches or updates to ensure the system's stability and integrity. Security Updates: Stay vigilant against emerging security threats and vulnerabilities. The patching process should include an inventory of third-party/public LLMs being used and their versions. Patch (i.e., provide security updates for) LLMs and related systems based on established vulnerability management SLAs. Retrain Model: As the nature of the data the LLM interacts with changes, you may need to update the training data or retrain the model to maintain optimal performance.","Maintenance | Bug Fixes: Address errors or malfunctions within the code used to train, fine-tune, and deploy LLM models or their supporting systems. Release patches or updates to ensure the system's stability and integrity. Security Updates: Stay vigilant against emerging security threats and vulnerabilities. The patching process should include an inventory of third-party/public LLMs being used and their versions. Patch (i.e., provide security updates for) LLMs and related systems based on established vulnerability management SLAs. Retrain Model: As the nature of the data the LLM interacts with changes, you may need to update the training data or retrain the model to maintain optimal performance."
LLM Taxonomy,Continuous Monitoring,"Purpose: Real-time tracking and assessment of AI system performance, safety, and compliance. Key Monitoring Dimensions: Performance metrics tracking, accuracy and reliability assessment, resource utilization monitoring, security vulnerability detection, ethical compliance checks. Technical Requirements: Real-time logging and analysis infrastructure, automated alerting systems, machine learning drift detection, comprehensive dashboard for system health, incident response protocols, regular automated and manual audits.","Continuous Monitoring | Purpose: Real-time tracking and assessment of AI system performance, safety, and compliance. Key Monitoring Dimensions: Performance metrics tracking, accuracy and reliability assessment, resource utilization monitoring, security vulnerability detection, ethical compliance checks. Technical Requirements: Real-time logging and analysis infrastructure, automated alerting systems, machine learning drift detection, comprehensive dashboard for system health, incident response protocols, regular automated and manual audits."
LLM Taxonomy,Continuous Improvement,"Re-training: Regularly evaluate the need to retrain the LLM on new data or with updated hyperparameters. This can help address concept drift, performance declines, or expand the LLM's capabilities. Continuous Feedback Loop: Implement a feedback loop where insights from monitoring and user feedback guide re-training and refinement efforts. Experimentation: Continuously explore new model architectures, algorithms, or training techniques that could potentially improve the LLM's overall performance.","Continuous Improvement | Re-training: Regularly evaluate the need to retrain the LLM on new data or with updated hyperparameters. This can help address concept drift, performance declines, or expand the LLM's capabilities. Continuous Feedback Loop: Implement a feedback loop where insights from monitoring and user feedback guide re-training and refinement efforts. Experimentation: Continuously explore new model architectures, algorithms, or training techniques that could potentially improve the LLM's overall performance."
LLM Taxonomy,Service Retirement,"This phase focuses on properly decommissioning the LLM service when it's no longer needed, superseded by a newer model, or if its continued operation poses unacceptable risks. | Archiving | Model Preservation: Archive the LLM model itself, along with its relevant code, configuration files, and training data. This can be valuable for historical analysis, auditing, or potential future reuse. This archive should be stored according to organizational data retention policies. Documentation: Preserve thorough documentation of the LLM's design, development process, performance metrics, known limitations, and any incidents or ethical concerns encountered during its use.","Service Retirement | This phase focuses on properly decommissioning the LLM service when it's no longer needed, superseded by a newer model, or if its continued operation poses unacceptable risks. | Archiving | Model Preservation: Archive the LLM model itself, along with its relevant code, configuration files, and training data. This can be valuable for historical analysis, auditing, or potential future reuse. This archive should be stored according to organizational data retention policies. Documentation: Preserve thorough documentation of the LLM's design, development process, performance metrics, known limitations, and any incidents or ethical concerns encountered during its use."
LLM Taxonomy,Data Deletion,"Regulations: Comply with data governance regulations (e.g., GDPR, CCPA) regarding the secure deletion of any personal or sensitive data collected or used in training or prompting during the LLM's operation. Retention Policies: Implement clear data retention policies that determine how long data needs to be stored and when it should be securely disposed of.","Data Deletion | Regulations: Comply with data governance regulations (e.g., GDPR, CCPA) regarding the secure deletion of any personal or sensitive data collected or used in training or prompting during the LLM's operation. Retention Policies: Implement clear data retention policies that determine how long data needs to be stored and when it should be securely disposed of."
LLM Taxonomy,Model Disposal,"Reuse Assessment: Determine if the LLM or its components can be repurposed for other applications or research projects, potentially reducing development costs and environmental impact. Intellectual Property: Address any intellectual property considerations related to retiring a model, particularly if it was developed using external resources or licensed technology. Secure Disposal: If the LLM cannot be reused, it should be securely disposed of, preventing unauthorized access or potential misuse. If the LLM was stored on physical media (e.g., hard drives, SSDs, or removable storage), consider physically destroying the media to ensure that no data can be recovered. This can be done through degaussing, shredding, or physically destroying the media beyond recovery.","Model Disposal | Reuse Assessment: Determine if the LLM or its components can be repurposed for other applications or research projects, potentially reducing development costs and environmental impact. Intellectual Property: Address any intellectual property considerations related to retiring a model, particularly if it was developed using external resources or licensed technology. Secure Disposal: If the LLM cannot be reused, it should be securely disposed of, preventing unauthorized access or potential misuse. If the LLM was stored on physical media (e.g., hard drives, SSDs, or removable storage), consider physically destroying the media to ensure that no data can be recovered. This can be done through degaussing, shredding, or physically destroying the media beyond recovery."
LLM Taxonomy,Asset Categories,Asset Categories L2,Asset Categories | Asset Categories L2
LLM Taxonomy,Data,"In LLM services, many assets play an integral role in shaping a service's efficacy and functionality. Data assets are at the forefront of these assets and serve as the cornerstone of LLM operations. | General Purpose Data (used for training / benchmarking / testing / validation) | This encompasses the data set used to train, benchmark, test, and validate the model, consisting of text sources from which the model derives insights into language patterns, and semantics that are imperative for quality of the model. Each data element is treated and managed individually.","Data | In LLM services, many assets play an integral role in shaping a service's efficacy and functionality. Data assets are at the forefront of these assets and serve as the cornerstone of LLM operations. | General Purpose Data (used for training / benchmarking / testing / validation) | This encompasses the data set used to train, benchmark, test, and validate the model, consisting of text sources from which the model derives insights into language patterns, and semantics that are imperative for quality of the model. Each data element is treated and managed individually."
LLM Taxonomy,Data used for fine-tune training,"Additional data is employed to fine-tune or further pre-train the model post-initial training. This facilitates adjustments to the model’s parameters to align more closely with specific use cases or domains, enhancing its adaptability and accuracy.","Data used for fine-tune training | Additional data is employed to fine-tune or further pre-train the model post-initial training. This facilitates adjustments to the model’s parameters to align more closely with specific use cases or domains, enhancing its adaptability and accuracy."
LLM Taxonomy,Data used for Retrieval-Augmented Generation (RAG),"Integrates external knowledge bases with LLMs. By retrieving relevant information before generating responses, RAG enables LLMs to leverage both model knowledge and external knowledge effectively. RAG can retrieve supplementary data from various sources, including internal systems, and public sources, such as the Internet, enriching input prompts and refining the model's contextual understanding to produce higher-quality responses.","Data used for Retrieval-Augmented Generation (RAG) | Integrates external knowledge bases with LLMs. By retrieving relevant information before generating responses, RAG enables LLMs to leverage both model knowledge and external knowledge effectively. RAG can retrieve supplementary data from various sources, including internal systems, and public sources, such as the Internet, enriching input prompts and refining the model's contextual understanding to produce higher-quality responses."
LLM Taxonomy,Data cards (that define the metadata of the data in use),"Metadata of the data sets used for various purposes in LLM needs to be maintained. This helps govern AI data and provides lineage, traceability, ownership, data sensitivity, and compliance regimes for every data set used. Storing and then continuously updating data cards as the data, ownership, or requirements change is essential to maintain compliance and visibility.","Data cards (that define the metadata of the data in use) | Metadata of the data sets used for various purposes in LLM needs to be maintained. This helps govern AI data and provides lineage, traceability, ownership, data sensitivity, and compliance regimes for every data set used. Storing and then continuously updating data cards as the data, ownership, or requirements change is essential to maintain compliance and visibility."
LLM Taxonomy,Input data,The input data is provided to set the context and boundaries around LLM systems. These data sets are additionally used to set topic boundaries and guardrails in case of adversarial generation.,Input data | The input data is provided to set the context and boundaries around LLM systems. These data sets are additionally used to set topic boundaries and guardrails in case of adversarial generation.
LLM Taxonomy,User session data,"Information amassed during user interactions with the AI systems, encompassing input queries, model-generated responses, and any supplementary context provided by users, facilitating personalized interactions.","User session data | Information amassed during user interactions with the AI systems, encompassing input queries, model-generated responses, and any supplementary context provided by users, facilitating personalized interactions."
LLM Taxonomy,Model output data,"The resultant output generated by the model in response to input prompts, encompassing text responses, predictions, or other forms of processed data, reflective of the model's comprehension and inference capabilities.","Model output data | The resultant output generated by the model in response to input prompts, encompassing text responses, predictions, or other forms of processed data, reflective of the model's comprehension and inference capabilities."
LLM Taxonomy,Model parameters (weights),"Internal parameters or weights acquired by the model during training, delineating its behavior and exerting a profound influence on its capacity to generate and contextually relevant responses.","Model parameters (weights) | Internal parameters or weights acquired by the model during training, delineating its behavior and exerting a profound influence on its capacity to generate and contextually relevant responses."
LLM Taxonomy,Model hyperparameters,"Configurations or settings specified during model training, including parameters such as learning rate, batch size, or architecture choices, are pivotal in shaping the model's overall performance and behavior.","Model hyperparameters | Configurations or settings specified during model training, including parameters such as learning rate, batch size, or architecture choices, are pivotal in shaping the model's overall performance and behavior."
LLM Taxonomy,Log data from LLM systems,"Recorded data encapsulating various events and interactions during the model's operation, including input prompts, model responses, performance metrics, and any encountered errors or anomalies, instrumental for monitoring and refining the model's functionality and performance.","Log data from LLM systems | Recorded data encapsulating various events and interactions during the model's operation, including input prompts, model responses, performance metrics, and any encountered errors or anomalies, instrumental for monitoring and refining the model's functionality and performance."
LLM Taxonomy,LLM/GenAI Ops,"The LLM-Ops Environment encompasses the infrastructure and processes involved in the deployment and operation of LLMs | Cloud Environment | This includes (a) Cloud running the training environment: This denotes the cloud platform or service provider entrusted with hosting and managing the computational resources, storage facilities, and ancillary infrastructure pivotal for training LLMs. It serves as the development space where models undergo iterative refinement and enhancement. (b) Cloud running the model inference point: This encapsulates the cloud platform or service provider tasked with hosting and administering the computational resources, storage solutions, and associated infrastructure indispensable for deploying LLMs and facilitating inference processes. It enables the model to generate responses based on user inputs, ensuring seamless interaction and responsiveness.","LLM/GenAI Ops | The LLM-Ops Environment encompasses the infrastructure and processes involved in the deployment and operation of LLMs | Cloud Environment | This includes (a) Cloud running the training environment: This denotes the cloud platform or service provider entrusted with hosting and managing the computational resources, storage facilities, and ancillary infrastructure pivotal for training LLMs. It serves as the development space where models undergo iterative refinement and enhancement. (b) Cloud running the model inference point: This encapsulates the cloud platform or service provider tasked with hosting and administering the computational resources, storage solutions, and associated infrastructure indispensable for deploying LLMs and facilitating inference processes. It enables the model to generate responses based on user inputs, ensuring seamless interaction and responsiveness."
LLM Taxonomy,Hybrid and Multi-Cloud Infrastructure,"This refers to the cloud platform or service provider entrusted with hosting and overseeing the infrastructure essential for running AI applications or AI services, harnessing the capabilities of trained language models. It serves as the operational hub where AI-driven applications leverage the inference prowess of models to deliver value-added functionalities and services to end-users.","Hybrid and Multi-Cloud Infrastructure | This refers to the cloud platform or service provider entrusted with hosting and overseeing the infrastructure essential for running AI applications or AI services, harnessing the capabilities of trained language models. It serves as the operational hub where AI-driven applications leverage the inference prowess of models to deliver value-added functionalities and services to end-users."
LLM Taxonomy,Security of the Deployment Environment,"This encompasses the array of mechanisms and policies implemented to govern and fortify access to the assorted components of the LLM-Ops Environment. It encompasses Identity and Access Management (IAM) protocols and network security measures, safeguarding the integrity and confidentiality of critical assets and functionalities.","Security of the Deployment Environment | This encompasses the array of mechanisms and policies implemented to govern and fortify access to the assorted components of the LLM-Ops Environment. It encompasses Identity and Access Management (IAM) protocols and network security measures, safeguarding the integrity and confidentiality of critical assets and functionalities."
LLM Taxonomy,Continuous Monitoring,"This denotes the ongoing process of vigilantly scrutinizing the LLM-Ops Environment's performance, security posture, and overall well-being. It encompasses the vigilant surveillance of the training environment, inference end point, and application components, ensuring optimal functionality while promptly identifying and remedying any anomalies or issues that may arise.","Continuous Monitoring | This denotes the ongoing process of vigilantly scrutinizing the LLM-Ops Environment's performance, security posture, and overall well-being. It encompasses the vigilant surveillance of the training environment, inference end point, and application components, ensuring optimal functionality while promptly identifying and remedying any anomalies or issues that may arise."
LLM Taxonomy,Storage,This signifies the cloud platform or service provider tasked with securely housing and managing the extensive data sets requisite for training language models. It entails robust storage and data management capabilities to accommodate the voluminous and diverse data sets fundamental for nurturing and refining language models.,Storage | This signifies the cloud platform or service provider tasked with securely housing and managing the extensive data sets requisite for training language models. It entails robust storage and data management capabilities to accommodate the voluminous and diverse data sets fundamental for nurturing and refining language models.
LLM Taxonomy,Model,"The concept of ""Model"" in the context of ML refers to a mathematical representation or an algorithm trained to make predictions or perform a specific task. The choice of foundation model, fine-tuning approach, and the decision to use open-source or closed-source models can significantly affect LLMs' capabilities, performance, and deployment flexibility within various applications and domains | Foundation Model | The foundation model is the base upon which further advancements are built. These models are typically large, pre-trained language models that encapsulate a broad understanding of language, obtained from extensive exposure to unlabeled text data through self-supervised learning techniques. Foundation models, in general, provide a starting point for subsequent fine-tuning and specialization to cater to specific tasks or domains. For some advanced and innovative foundation models, another term, “Frontier Model” can be used to represent a brand new foundation model in the AI Marketplace. From an AI perspective, sometimes the term “Base Model'' represents foundation models in the application technology stacks.","Model | The concept of ""Model"" in the context of ML refers to a mathematical representation or an algorithm trained to make predictions or perform a specific task. The choice of foundation model, fine-tuning approach, and the decision to use open-source or closed-source models can significantly affect LLMs' capabilities, performance, and deployment flexibility within various applications and domains | Foundation Model | The foundation model is the base upon which further advancements are built. These models are typically large, pre-trained language models that encapsulate a broad understanding of language, obtained from extensive exposure to unlabeled text data through self-supervised learning techniques. Foundation models, in general, provide a starting point for subsequent fine-tuning and specialization to cater to specific tasks or domains. For some advanced and innovative foundation models, another term, “Frontier Model” can be used to represent a brand new foundation model in the AI Marketplace. From an AI perspective, sometimes the term “Base Model'' represents foundation models in the application technology stacks."
LLM Taxonomy,Fine-Tuned Model,"Derived from the Foundation Model, the Fine-Tuned Model undergoes refinement and adaptation to cater to specific tasks or domains. Through the process of fine-tuning, the parameters of the foundation model are updated utilizing supervised learning techniques and task-specific labeled data. This iterative process enables the model to enhance its performance on target tasks or domains while retaining the foundational knowledge and capabilities inherited from the Foundation Model.","Fine-Tuned Model | Derived from the Foundation Model, the Fine-Tuned Model undergoes refinement and adaptation to cater to specific tasks or domains. Through the process of fine-tuning, the parameters of the foundation model are updated utilizing supervised learning techniques and task-specific labeled data. This iterative process enables the model to enhance its performance on target tasks or domains while retaining the foundational knowledge and capabilities inherited from the Foundation Model."
LLM Taxonomy,Open Source vs. Closed Source Models,"This dichotomy pertains to the accessibility and licensing of a model's source code, model weights, and associated artifacts. Open-source models may release some or all of their training data and source code, data used for the model development, model architecture, weights, and tools to the public under open-source licenses, granting free usage with specific terms and conditions. However, closed-source models maintain proprietary status, withholding their source code, weights, and implementation details from the public domain, often motivated by intellectual property protection or commercial interests. Closed-source models that allow users to access the models for fine tuning or inference purposes are called Open access models. These model assets collectively form the backbone of model development, fostering innovation, adaptability, and accessibility within GenAI.","Open Source vs. Closed Source Models | This dichotomy pertains to the accessibility and licensing of a model's source code, model weights, and associated artifacts. Open-source models may release some or all of their training data and source code, data used for the model development, model architecture, weights, and tools to the public under open-source licenses, granting free usage with specific terms and conditions. However, closed-source models maintain proprietary status, withholding their source code, weights, and implementation details from the public domain, often motivated by intellectual property protection or commercial interests. Closed-source models that allow users to access the models for fine tuning or inference purposes are called Open access models. These model assets collectively form the backbone of model development, fostering innovation, adaptability, and accessibility within GenAI."
LLM Taxonomy,Domain-Specific Models,"Domain-specific models refer to machine learning models that are designed and trained to excel on specific domain knowledge, such as financial, medicines, and coding.","Domain-Specific Models | Domain-specific models refer to machine learning models that are designed and trained to excel on specific domain knowledge, such as financial, medicines, and coding."
