control_domain,control_title,control_id,control_specification,question_id,consensus_assessments_question,control_type,relevant_threat_categories,relevant_stack_components,used_by_agent,criticality
Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment with business objectives, security requirements, and compliance obligations.",AIS-03.1,"Are technical and operational metrics defined and implemented in alignment with business objectives, security requirements, and compliance obligations?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Secure Application Development Lifecycle,AIS-04,"Define and implement a secure software development lifecycle (SDLC) process for application requirements analysis, planning, design, development, testing, deployment, and operation in accordance with security requirements defined by the organization.",AIS-04.1,"Is a secure software development lifecycle (SDLC) process defined and implemented for application requirements analysis, planning, design, development, testing, deployment, and operation in accordance with security requirements defined by the organization?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while meeting organizational delivery goals. Automate when applicable and possible.",AIS-05.1,"Is a testing strategy implemented, including criteria for acceptance of new information systems, upgrades, and new versions, to provide application security assurance, maintain compliance, and meet organizational delivery goals?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,AIS-05.2,Is automation applied where applicable and possible?,,,,missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized, and compliant application deployment. Automate where possible.",AIS-06.1,"Are strategies and capabilities established and implemented for secure, standardized, and compliant application deployment?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible.",AIS-07.1,"Are processes defined and implemented to remediate application security vulnerabilities, automating remediation when possible?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Input Validation,AIS-08,"Validate, filter, modify or block, as necessary, input against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.",AIS-08.1,"Is the input against adversarial patterns, failure patterns and unwanted behaviour, validated, filtered, modified, or blocked as necessary, according to organisational policies, applicable laws and regulations?",AI-Specific,"Model manipulation, Data poisoning, Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Output Validation,AIS-09,"Validate, filter, modify or block, as necessary, output against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.",AIS-09.1,"Is the output against adversarial patterns, failure patterns and unwanted behaviour, validated, filtered, modified, or blocked as necessary, according to organisational policies, applicable laws and regulations?",AI-Specific,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,API Security,AIS-10,"Define and implement processes, procedures, and technical measures to secure APIs. Review and update for any improvements at least annually or after significant system changes.",AIS-10.1,"Are processes, procedures and technical measures to secure APIs, including authorization flaws, API key management, regular security testing, defined, implemented and evaluated?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,AIS-10.2,Are technical measures for any improvements reviewed and updated at least annually or after significant system changes?,,,,missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Agents Security Boundaries,AIS-11,Establish security boundaries for agents.,AIS-11.1,Are the security boundaries for agents established?,AI-Specific,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure apps/plugins, Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Source Code Managemement,AIS-12,"Implement source code management practices, such as version control, code review & static code analysis, aligning with the SDLC process.",AIS-12.1,"Are source code management practices, such as version control, code review and static code analysis, implemented and aligning with the SDLC process?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,AI Sandboxing,AIS-13,Implement sandboxing techniques to execute AI tools and plugins in isolated environments to prevent unintended interactions with critical systems or data and limit the possibility of lateral movement.,AIS-13.1,Are sandboxing techniques implemented to execute AI tools and plugins in isolated environments to prevent unintended interactions with critical systems or data and to limit the possibility of lateral movement?,AI-Specific,"Model manipulation, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,AI Cache Protection,AIS-14,Implement security measures to protect caches in GenAI systems and services.,AIS-14.1,Are security measures implemented to protect cache systems in GenAI systems and services?,AI-Specific,"Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Prompt Differentation,AIS-15,"Implement mechanisms enabling the model to clearly distinguish user-provided input instructions from data and system instructions (e.g., system prompts).",AIS-15.1,"Are mechanisms implemented to enable the model to clearly distinguish user-provided input instructions from data and system instructions (e.g., system prompts)?",AI-Specific,"Model manipulation, Data poisoning, Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Business Continuity Management Policy and Procedures,BCR-01,"Establish, document, approve, communicate, apply, evaluate and maintain business continuity management and operational resilience policies and procedures. Review and update the policies and procedures at least annually, or when significant changes occur that could impact risk exposure.",BCR-01.1,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,"Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,BCR-01.2,"Are policies and procedures reviewed and updated at least annually, or when significant changes occur that could impact risk exposure?",,,,missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Risk Assessment and Impact Analysis,BCR-02,Determine the impact of business disruptions and risks to establish criteria for developing business continuity and operational resilience strategies and capabilities. Review and update the risk assessment and impact analysis at least annually or upon significant changes.,BCR-02.1,Is the impact of business disruptions and risks determined to establish criteria for developing business continuity and operational resilience strategies and capabilities?,Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,BCR-02.2,"Is the risk assessment and impact analysis, reviewed and updated at least annually or upon significant changes?",,,,missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Business Continuity Strategy,BCR-03,"Establish strategies to reduce the impact of business disruptions, and improve resiliency and recovery from business disruptions.",BCR-03.1,"Are strategies established to reduce the impact of business disruptions, and improve resiliency and recovery from business disruptions?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Business Continuity Planning,BCR-04,"Establish, document, approve, communicate, apply, evaluate and maintain a business continuity plan based on the results of the operational resilience strategies and capabilities.",BCR-04.1,"Is a business continuity plan - based on the results of operational resilience strategies and capabilities - established, documented, approved, communicated, applied, evaluated and maintained?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Documentation,BCR-05,"Develop, identify, and acquire documentation, both internally and from external parties, that is relevant to support the business continuity and operational resilience programs. Make the documentation available to authorized stakeholders and review at least annually or upon significant changes.",BCR-05.1,"Is relevant documentation, both internal and from external parties, for supporting the business continuity and operational resilience programs, developed, identified, and acquired?",Cloud & AI Related,Loss of governance/compliance,"Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,BCR-05.2,Is the documentation available to authorized stakeholders and reviewed at least annually or upon significant changes.?,,,,missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Business Continuity Exercises,BCR-06,Follow a structured approach to evaluate the effectiveness of the business continuity and operational resilience plans at planned intervals or upon significant changes.,BCR-06.1,"Is a structured approach to evaluate the effectiveness of the business continuity and operational resilience plans, followed at planned intervals or upon significant changes?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Communication,BCR-07,Establish and maintain communication channels with all relevant stakeholders in the course of business continuity and resilience procedures.,BCR-07.1,Are communication channels with all relevant stakeholders established and maintained in the course of business continuity and resilience procedures?,Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Backup,BCR-08,"Periodically perform backups. Ensure the confidentiality, integrity and availability of the backup, and verify restoration from backup for resiliency.",BCR-08.1,Are backups periodically performed?,Cloud & AI Related,"Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,BCR-08.2,"Is the confidentiality, integrity and availability of the backup, ensured and data restoration from backup verified for resiliency?",,,,missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Disaster Response Plan,BCR-09,"Establish, document, approve, communicate, apply, evaluate and maintain a disaster response plan to recover from natural and man-made disasters. Update the plan at least annually or upon significant changes.",BCR-09.1,"Is a disaster response plan to recover from natural and man-made disasters established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,Loss of governance/compliance,"Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,BCR-09.2,Is the Disaster Response Plan updated at least annually or upon significant changes?,,,,missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Response Plan Exercise,BCR-10,"Exercise the disaster response plan annually or upon significant changes, including, if possible, participation of local emergency authorities.",BCR-10.1,"Is a structured approach to evaluate the effectiveness of the disaster response plan followed at planned intervals or upon significant changes, including, if possible, participation of local emergency authorities?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Business Continuity Management and Operational Resilience,Equipment Redundancy,BCR-11,Supplement business-critical equipment with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance in accordance with applicable industry standards.,BCR-11.1,Are business-critical equipment supplemented with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance in accordance with applicable industry standards?,Cloud & AI Related,,"Phys, Network, Compute, Storage",missing_info_agent; validation_agent; final_output_agent,
Change Control and Configuration Management,Change Management Policy and Procedures,CCC-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for managing the risks associated with applying changes to assets owned, controlled or used by the organization. Review and update the policies and procedures at least annually, or upon significant changes.",CCC-01.1,"Are policies and procedures for managing the risks associated with applying changes to assets owned, controlled or used by the organization, established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App",missing_info_agent; validation_agent; final_output_agent,
,,,,CCC-01.2,Are the policies and procedures reviewed and updated at least annually or upon significant changes?,,,,missing_info_agent; validation_agent; final_output_agent,
Change Control and Configuration Management,Quality Testing,CCC-02,"Establish, maintain and implement a defined quality change control, approval and testing process incorporating baselines, testing, and release standards.",CCC-02.1,"Is a defined quality change control, approval and testing process incorporating baselines, testing and release standards, established, maintained and implemented?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Change Control and Configuration Management,Change Management Technology,CCC-03,"Implement a change management procedure to manage the risks associated with applying changes to assets owned, controlled or used by the organization.",CCC-03.1,"Is a change management procedure implemented to manage the risks associated with applying changes to assets owned, controlled or used by the organization?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Change Control and Configuration Management,Change Authorization,CCC-04,"Implement and enforce a procedure to authorize addition, removal, update, and management of assets, owned, controlled or used by the organization.",CCC-04.1,"Are procedures implemented and enforced to authorize the addition, removal, update, and management of assets owned, controlled, or used by the organization?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Change Control and Configuration Management,Change Agreements,CCC-05,Include provisions limiting changes directly impacting customer owned environments/tenants to explicitly authorized requests within service level agreements.,CCC-05.1,Are provisions included that limit changes directly impacting customer owned environments/tenants to explicitly authorized requests within service level agreements?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Change Control and Configuration Management,Change Management Baseline,CCC-06,Establish change management baselines for all relevant authorized changes on organization assets. Review and update the change management baseline at least annually or upon significant changes.,CCC-06.1,Are change management baselines established for all relevant authorized changes on organization assets?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,CCC-06.2,Is the change management baseline reviewed an updated at least annually or upon significant changes?,,,,missing_info_agent; validation_agent; final_output_agent,
Change Control and Configuration Management,Detection of Baseline Deviation,CCC-07,Implement detection measures with proactive notification in case of changes deviating from the established baseline.,CCC-07.1,Are detection measures with proactive notification implemented in case of changes deviating from the established baseline?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Change Control and Configuration Management,Exception Management,CCC-08,"Implement a procedure for the management of exceptions, including emergencies, in the change and configuration process. Align the procedure with the requirements of GRC-04: Policy Exception Process.",CCC-08.1,"Is a procedure implemented (aligning with the requirements of GRC-04: Policy Exception Process) for the management of exceptions, including emergencies, in the change and configuration process?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Change Control and Configuration Management,Change Restoration,CCC-09,Define and implement a process to proactively roll back changes to a previous known good state in case of errors or security concerns.,CCC-09.1,Is a process defined and implemented to proactively roll back changes to a previous known good state in case of errors or security concerns?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Encryption and Key Management Policy and Procedures,CEK-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Cryptography, Encryption and Key Management. Review and update the policies and procedures at least annually or upon significant changes.",CEK-01.1,"Are cryptography, encryption, and key management policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,"Sensitive data disclosure, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,CEK-01.2,"Are cryptography, encryption, and key management policies and procedures reviewed and updated at least annually or upon significant changes?",,,,missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",CEK Roles and Responsibilities,CEK-02,"Define and implement cryptographic, encryption and key management roles and responsibilities.",CEK-02.1,"Are cryptography, encryption, and key management roles and responsibilities defined and implemented?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Data Encryption,CEK-03,"Provide data protection at-rest, in-transit and, where applicable, in-use by using cryptographic libraries certified to approved standards.",CEK-03.1,"Is data protection, at-rest, in-transit and where applicable in-use, provided by using cryptographic libraries certified to approved standards?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Encryption Algorithm,CEK-04,"Utilize encryption algorithms following industry standards for protecting data, based on the data classification and associated risks.",CEK-04.1,"Are encryption algorithms utilized following industry standards for protecting data, based on the data classification and associated risks?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Encryption Change Management,CEK-05,"Establish a standard change management procedure, to accommodate changes from internal and external sources, for review, approval, implementation and communication of cryptographic, encryption and key management technology changes.",CEK-05.1,"Are standard change management procedures established to review, approve, implement, and communicate cryptography, encryption, and key management technology changes that accommodate internal and external sources?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Encryption Change Cost Benefit Analysis,CEK-06,"Manage and adopt changes to cryptography-, encryption-, and key management-related systems (including policies and procedures) that fully account for downstream effects of proposed changes, including residual risk, cost, and benefits analysis.",CEK-06.1,"Are changes to cryptography-, encryption- and key management-related systems, policies, and procedures, managed and adopted in a manner that fully accounts for downstream effects of proposed changes, including residual risk, cost, and benefits analysis?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Encryption Risk Management,CEK-07,"Establish and maintain an encryption and key management risk program that includes provisions for risk assessment, risk treatment, risk context, monitoring, and feedback.",CEK-07.1,"Is a cryptography, encryption, and key management risk program established and maintained that includes risk assessment, risk treatment, risk context, monitoring, and feedback provisions?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Customer Key Management Capability,CEK-08,Providers must provide the capability for customers to manage their own data encryption keys.,CEK-08.1,Are providers providing customers with the capability to manage their own data encryption keys?,Cloud & AI Related,"Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Encryption and Key Management Audit,CEK-09,"Audit encryption and key management systems, policies, and processes with a frequency that is proportional to the risk exposure of the system with audit occurring preferably continuously but at least annually and after any security event(s).",CEK-09.1,"Are encryption and key management systems, policies, and processes audited with a frequency proportional to the system's risk exposure?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,CEK-09.2,"Are encryption and key management systems, policies, and processes audited preferably continuously but at least annually and after any security event?",,,,missing_info_agent; validation_agent; final_output_agent,
